Gene	p value	Name
ST6GALNAC1	<0.01	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
BRK1	<0.01	BRICK1 subunit of SCAR/WAVE actin nucleating complex
TMEM63B	<0.01	transmembrane protein 63B
PITHD1	<0.01	PITH domain containing 1
BRD3	<0.01	bromodomain containing 3
PLCB3	<0.01	phospholipase C beta 3
HSPA4L	<0.01	heat shock protein family A (Hsp70) member 4 like
AKT2	<0.01	AKT serine/threonine kinase 2
TMEM150A	<0.01	transmembrane protein 150A
RAP1A	<0.01	RAP1A, member of RAS oncogene family
PDCD5	<0.01	programmed cell death 5
ZMYM6NB	<0.01	transmembrane protein 35B
SENP3	<0.01	SUMO specific peptidase 3
MRPL34	<0.01	mitochondrial ribosomal protein L34
SUPT6H	<0.01	SPT6 homolog, histone chaperone and transcription elongation factor
TMC5	<0.01	transmembrane channel like 5
GATA2	<0.01	GATA binding protein 2
FMO9P	<0.01	flavin containing dimethylaniline monoxygenase 9, pseudogene
RAB4B	<0.01	RAB4B, member RAS oncogene family
ZNF358	<0.01	zinc finger protein 358
GABARAP	<0.01	GABA type A receptor-associated protein
ZNF345	<0.01	zinc finger protein 345
ISCU	<0.01	iron-sulfur cluster assembly enzyme
BTBD2	<0.01	BTB domain containing 2
UROD	<0.01	uroporphyrinogen decarboxylase
RFNG	<0.01	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
MIDN	<0.01	midnolin
SLC2A4RG	<0.01	SLC2A4 regulator
PROM2	<0.01	prominin 2
PSIP1	<0.01	PC4 and SFRS1 interacting protein 1
C9orf41	<0.01	carnosine N-methyltransferase 1
PSMB6	<0.01	proteasome 20S subunit beta 6
C15orf39	<0.01	chromosome 15 open reading frame 39
CACNA1H	<0.01	calcium voltage-gated channel subunit alpha1 H
ARHGEF6	<0.01	Rac/Cdc42 guanine nucleotide exchange factor 6
PLEKHA6	<0.01	pleckstrin homology domain containing A6
ASAH2	<0.01	N-acylsphingosine amidohydrolase 2
ING3	<0.01	inhibitor of growth family member 3
KLHL26	<0.01	kelch like family member 26
PGRMC2	<0.01	progesterone receptor membrane component 2
MARK2	<0.01	microtubule affinity regulating kinase 2
KLHL21	<0.01	kelch like family member 21
KIAA2013	<0.01	KIAA2013
RPS16	<0.01	ribosomal protein S16
SLC35C2	<0.01	solute carrier family 35 member C2
SNX7	<0.01	sorting nexin 7
PRKAB1	<0.01	protein kinase AMP-activated non-catalytic subunit beta 1
LYSMD2	<0.01	LysM domain containing 2
SUSD2	<0.01	sushi domain containing 2
PRODH	<0.01	proline dehydrogenase 1
TIRAP	<0.01	TIR domain containing adaptor protein
PEMT	<0.01	phosphatidylethanolamine N-methyltransferase
RPA2	<0.01	replication protein A2
UNC119B	<0.01	unc-119 lipid binding chaperone B
TGFBR1	<0.01	transforming growth factor beta receptor 1
C17orf49	<0.01	chromosome 17 open reading frame 49
ATP5A1	<0.01	ATP synthase F1 subunit alpha
ARF4	>0.1	ADP ribosylation factor 4
SLC7A3	>0.1	solute carrier family 7 member 3
PTH2R	>0.1	parathyroid hormone 2 receptor
HSBP1L1	>0.1	heat shock factor binding protein 1 like 1
TNNC1	>0.1	troponin C1, slow skeletal and cardiac type
ANGPTL3	>0.1	angiopoietin like 3
CTAGE1	>0.1	cutaneous T cell lymphoma-associated antigen 1
TMEM165	>0.1	transmembrane protein 165
VWF	>0.1	von Willebrand factor
LRRC10B	>0.1	leucine rich repeat containing 10B
GATA1	>0.1	GATA binding protein 1
KLRC4	>0.1	killer cell lectin like receptor C4
MIS18BP1	>0.1	MIS18 binding protein 1
BAALCOS	>0.1	BAALC antisense RNA 2
LOC653712	>0.1	intraflagellar transport 122 homolog (Chlamydomonas) pseudogene(LOC653712)
HLA-DRB6	>0.1	major histocompatibility complex, class II, DR beta 6 (pseudogene)
TUSC8	>0.1	tumor suppressor candidate 8
HFE2	>0.1	hemojuvelin BMP co-receptor
TRIM58	>0.1	tripartite motif containing 58
CYB5R2	>0.1	cytochrome b5 reductase 2
CDRT15P2	>0.1	CDRT15 pseudogene 2
OPN1MW	>0.1	opsin 1, medium wave sensitive
APOLD1	>0.1	apolipoprotein L domain containing 1
GS1-18A18.1	>0.1	
GPR101	>0.1	G protein-coupled receptor 101
LOC643201	>0.1	centrosomal protein 192kDa pseudogene(LOC643201)
LRP2BP	>0.1	LRP2 binding protein
ETNPPL	>0.1	ethanolamine-phosphate phospho-lyase
SLC2A13	>0.1	solute carrier family 2 member 13
TOPBP1	>0.1	DNA topoisomerase II binding protein 1
FAM69C	>0.1	divergent protein kinase domain 1C
DIRC2	>0.1	solute carrier family 49 member 4
SOCS3	>0.1	suppressor of cytokine signaling 3
WDR16	>0.1	cilia and flagella associated protein 52
TMEM105	>0.1	TMEM105 long non-coding RNA
CA1	>0.1	carbonic anhydrase 1
GREB1	>0.1	growth regulating estrogen receptor binding 1
HCN1	>0.1	hyperpolarization activated cyclic nucleotide gated potassium channel 1
LINC01249	>0.1	long intergenic non-protein coding RNA 1249
HTR1F	>0.1	5-hydroxytryptamine receptor 1F
ABCA8	>0.1	ATP binding cassette subfamily A member 8
APP	>0.1	amyloid beta precursor protein
LINC01355	>0.1	long intergenic non-protein coding RNA 1355
CSNK1D	>0.1	casein kinase 1 delta
WAC-AS1	>0.1	WAC antisense RNA 1 (head to head)
LINC00221	>0.1	long intergenic non-protein coding RNA 221
RADIL	>0.1	Rap associating with DIL domain
GYPC	>0.1	glycophorin C (Gerbich blood group)
GABRE	>0.1	gamma-aminobutyric acid type A receptor subunit epsilon
LINGO2	>0.1	leucine rich repeat and Ig domain containing 2
FBXL7	>0.1	F-box and leucine rich repeat protein 7
IMP4	>0.1	IMP U3 small nucleolar ribonucleoprotein 4
SLC7A10	>0.1	solute carrier family 7 member 10
C10orf71	>0.1	chromosome 10 open reading frame 71
FAU	>0.1	FAU ubiquitin like and ribosomal protein S30 fusion
PVT1	>0.1	Pvt1 oncogene
FOXO4	>0.1	forkhead box O4
LHFPL3-AS1	>0.1	LHFPL3 antisense RNA 1
CSRNP3	>0.1	cysteine and serine rich nuclear protein 3
RAB40C	>0.1	RAB40C, member RAS oncogene family
LINC00892	>0.1	long intergenic non-protein coding RNA 892
PGRMC1	>0.1	progesterone receptor membrane component 1
ZFP69B	>0.1	ZFP69 zinc finger protein B
AIM1L	>0.1	crystallin beta-gamma domain containing 2
PTER	>0.1	phosphotriesterase related
CHST4	>0.1	carbohydrate sulfotransferase 4
CDK2AP2	>0.1	cyclin dependent kinase 2 associated protein 2
TRPM6	>0.1	transient receptor potential cation channel subfamily M member 6
MRPL52	>0.1	mitochondrial ribosomal protein L52
TMEM252	>0.1	transmembrane protein 252
LINC01018	>0.1	long intergenic non-protein coding RNA 1018
CSPG4	>0.1	chondroitin sulfate proteoglycan 4
LINC00634	>0.1	small integral membrane protein 45
LOC286437	>0.1	uncharacterized LOC286437(LOC286437)
ELOVL6	>0.1	ELOVL fatty acid elongase 6
NDST1	>0.1	N-deacetylase and N-sulfotransferase 1
ENOX1-AS2	>0.1	ENOX1 antisense RNA 2
OR2Z1	>0.1	olfactory receptor family 2 subfamily Z member 1
LOC338963	>0.1	epididymal protein pseudogene(LOC338963)
CAPN8	>0.1	calpain 8
ARPC3	>0.1	actin related protein 2/3 complex subunit 3
CTPS2	>0.1	CTP synthase 2
FSD1	>0.1	fibronectin type III and SPRY domain containing 1
BANF1	>0.1	BAF nuclear assembly factor 1
LOC102723859	>0.1	
MAB21L2	>0.1	mab-21 like 2
ACOXL	>0.1	acyl-CoA oxidase like
TEX11	>0.1	testis expressed 11
PHIP	>0.1	pleckstrin homology domain interacting protein
GPM6A	>0.1	glycoprotein M6A
GBP3	>0.1	guanylate binding protein 3
SCEL	>0.1	sciellin
CHAC2	>0.1	ChaC glutathione specific gamma-glutamylcyclotransferase 2
GAMT	>0.1	guanidinoacetate N-methyltransferase
ADAMTSL4	>0.1	ADAMTS like 4
SNAPC5	>0.1	small nuclear RNA activating complex polypeptide 5
PPAN-P2RY11	>0.1	PPAN-P2RY11 readthrough
RSPH9	>0.1	radial spoke head component 9
TMEM196	>0.1	transmembrane protein 196
GPRIN3	>0.1	GPRIN family member 3
PACSIN1	>0.1	protein kinase C and casein kinase substrate in neurons 1
OR10A3	>0.1	olfactory receptor family 10 subfamily A member 3
LAX1	>0.1	lymphocyte transmembrane adaptor 1
UBE2Q2P2	>0.1	UBE2Q2 pseudogene 2
BLK	>0.1	BLK proto-oncogene, Src family tyrosine kinase
PLA2G4C	>0.1	phospholipase A2 group IVC
FAM13C	>0.1	family with sequence similarity 13 member C
TCP11	>0.1	t-complex 11
LINC00707	>0.1	long intergenic non-protein coding RNA 707
DENND4C	>0.1	DENN domain containing 4C
KRTAP10-12	>0.1	keratin associated protein 10-12
BICD2	>0.1	BICD cargo adaptor 2
COL9A2	>0.1	collagen type IX alpha 2 chain
PPAPDC3	>0.1	phospholipid phosphatase 7 (inactive)
C6orf163	>0.1	chromosome 6 open reading frame 163
METTL7B	>0.1	methyltransferase like 7B
SYTL1	>0.1	synaptotagmin like 1
ULBP3	>0.1	UL16 binding protein 3
ARL1	>0.1	ADP ribosylation factor like GTPase 1
CASP7	>0.1	caspase 7
EDNRA	>0.1	endothelin receptor type A
SFTPA1	>0.1	surfactant protein A1
ZNF410	>0.1	zinc finger protein 410
ROR1	>0.1	receptor tyrosine kinase like orphan receptor 1
C18orf63	>0.1	chromosome 18 open reading frame 63
RPL32P3	>0.1	ribosomal protein L32 pseudogene 3
RPP30	>0.1	ribonuclease P/MRP subunit p30
LOC728613	>0.1	
DNAH7	>0.1	dynein axonemal heavy chain 7
USP50	>0.1	ubiquitin specific peptidase 50
TPSD1	>0.1	tryptase delta 1
CXorf57	>0.1	RPA1 related single stranded DNA binding protein, X-linked
IL10RA	>0.1	interleukin 10 receptor subunit alpha
ATRN	>0.1	attractin
IFI27L2	>0.1	interferon alpha inducible protein 27 like 2
ANKRD32	>0.1	SMC5-SMC6 complex localization factor 1
RNF2	>0.1	ring finger protein 2
CELF2	>0.1	CUGBP Elav-like family member 2
LPAR3	>0.1	lysophosphatidic acid receptor 3
VSIG1	>0.1	V-set and immunoglobulin domain containing 1
PICALM	>0.1	phosphatidylinositol binding clathrin assembly protein
EXPH5	>0.1	exophilin 5
AOX1	>0.1	aldehyde oxidase 1
NANOS2	>0.1	nanos C2HC-type zinc finger 2
CA12	>0.1	carbonic anhydrase 12
CLLU1OS	>0.1	CLLU1 antisense RNA 1
SMC1B	>0.1	structural maintenance of chromosomes 1B
VGLL3	>0.1	vestigial like family member 3
KLRF1	>0.1	killer cell lectin like receptor F1
LGR4	>0.1	leucine rich repeat containing G protein-coupled receptor 4
HLA-DQA2	>0.1	major histocompatibility complex, class II, DQ alpha 2
ZSCAN5B	>0.1	zinc finger and SCAN domain containing 5B
C9orf92	>0.1	chromosome 9 open reading frame 92
RNF224	>0.1	ring finger protein 224
ENTPD1-AS1	>0.1	ENTPD1 antisense RNA 1
RAD51	>0.1	RAD51 recombinase
C15orf26	>0.1	cilia and flagella associated protein 161
RAB30	>0.1	RAB30, member RAS oncogene family
GLP1R	>0.1	glucagon like peptide 1 receptor
KLF5	>0.1	Kruppel like factor 5
TMEM45A	>0.1	transmembrane protein 45A
CPE	>0.1	carboxypeptidase E
SP110	>0.1	SP110 nuclear body protein
TLE6	>0.1	TLE family member 6, subcortical maternal complex member
HSD11B1L	>0.1	hydroxysteroid 11-beta dehydrogenase 1 like
CAMKK1	>0.1	calcium/calmodulin dependent protein kinase kinase 1
PSG3	>0.1	pregnancy specific beta-1-glycoprotein 3
C21orf91-OT1	>0.1	C21orf91 overlapping transcript 1
OR7C2	>0.1	olfactory receptor family 7 subfamily C member 2
SFI1	>0.1	SFI1 centrin binding protein
NUSAP1	>0.1	nucleolar and spindle associated protein 1
KIAA1683	>0.1	IQ motif containing N
B3GALT6	>0.1	beta-1,3-galactosyltransferase 6
LOC100128398	>0.1	uncharacterized LOC100128398(LOC100128398)
DLX6	>0.1	distal-less homeobox 6
ZBTB41	>0.1	zinc finger and BTB domain containing 41
CNTN2	>0.1	contactin 2
PYCR2	>0.1	pyrroline-5-carboxylate reductase 2
BCL7B	>0.1	BAF chromatin remodeling complex subunit BCL7B
NT5DC1	>0.1	5'-nucleotidase domain containing 1
DIS3	>0.1	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
CCT5	>0.1	chaperonin containing TCP1 subunit 5
TMEM33	>0.1	transmembrane protein 33
FCRL5	>0.1	Fc receptor like 5
LOC642943	>0.1	SPATA31 subfamily A pseudogene(LOC642943)
GAS1	>0.1	growth arrest specific 1
HSPE1	>0.1	heat shock protein family E (Hsp10) member 1
AFG3L1P	>0.1	AFG3 like matrix AAA peptidase subunit 1, pseudogene
ZDHHC16	>0.1	zinc finger DHHC-type palmitoyltransferase 16
CARD18	>0.1	caspase recruitment domain family member 18
ST6GAL2	>0.1	ST6 beta-galactoside alpha-2,6-sialyltransferase 2
AUNIP	>0.1	aurora kinase A and ninein interacting protein
ADAMTS3	>0.1	ADAM metallopeptidase with thrombospondin type 1 motif 3
CFI	>0.1	complement factor I
MTCH2	>0.1	mitochondrial carrier 2
PRDM9	>0.1	PR/SET domain 9
PPP1R12C	>0.1	protein phosphatase 1 regulatory subunit 12C
ANKEF1	>0.1	ankyrin repeat and EF-hand domain containing 1
LINC00921	>0.1	long intergenic non-protein coding RNA 921
ANKRD27	>0.1	ankyrin repeat domain 27
COPZ2	>0.1	COPI coat complex subunit zeta 2
ZSCAN1	>0.1	zinc finger and SCAN domain containing 1
POU2AF1	>0.1	POU class 2 homeobox associating factor 1
ABCC10	>0.1	ATP binding cassette subfamily C member 10
LCAT	>0.1	lecithin-cholesterol acyltransferase
SSTR5-AS1	>0.1	SSTR5 antisense RNA 1
TMEM74	>0.1	transmembrane protein 74
HOXB13	>0.1	homeobox B13
DRICH1	>0.1	aspartate rich 1
PHF7	>0.1	PHD finger protein 7
MGA	>0.1	MAX dimerization protein MGA
RAD51AP2	>0.1	RAD51 associated protein 2
ABCA2	>0.1	ATP binding cassette subfamily A member 2
HIST1H2BB	>0.1	H2B clustered histone 3
MRI1	>0.1	methylthioribose-1-phosphate isomerase 1
NEURL1B	>0.1	neuralized E3 ubiquitin protein ligase 1B
ESPL1	>0.1	extra spindle pole bodies like 1, separase
STON1	>0.1	stonin 1
MTMR6	>0.1	myotubularin related protein 6
NXPH3	>0.1	neurexophilin 3
NUP155	>0.1	nucleoporin 155
PDE1C	>0.1	phosphodiesterase 1C
UBL3	>0.1	ubiquitin like 3
AKR1C3	>0.1	aldo-keto reductase family 1 member C3
DKK3	>0.1	dickkopf WNT signaling pathway inhibitor 3
ADCK3	>0.1	coenzyme Q8A
LINC01281	>0.1	long intergenic non-protein coding RNA 1281
FAM149A	>0.1	family with sequence similarity 149 member A
DGKG	>0.1	diacylglycerol kinase gamma
MTSS1	>0.1	MTSS I-BAR domain containing 1
SH3D21	>0.1	SH3 domain containing 21
PACS2	>0.1	phosphofurin acidic cluster sorting protein 2
TRIM39-RPP21	>0.1	TRIM39-RPP21 readthrough
GIN1	>0.1	gypsy retrotransposon integrase 1
DSN1	>0.1	DSN1 component of MIS12 kinetochore complex
C4orf45	>0.1	chromosome 4 open reading frame 45
PRAME	>0.1	PRAME nuclear receptor transcriptional regulator
BAAT	>0.1	bile acid-CoA:amino acid N-acyltransferase
RCOR2	>0.1	REST corepressor 2
LSM8	>0.1	LSM8 homolog, U6 small nuclear RNA associated
CTAGE15	>0.1	CTAGE family member 15
TCAM1P	>0.1	testicular cell adhesion molecule 1, pseudogene
KRTAP12-2	>0.1	keratin associated protein 12-2
PRKACB	>0.1	protein kinase cAMP-activated catalytic subunit beta
HMX1	>0.1	H6 family homeobox 1
LOC284632	>0.1	
MGC27345	>0.1	
CA13	>0.1	carbonic anhydrase 13
NEIL1	>0.1	nei like DNA glycosylase 1
FOXN2	>0.1	forkhead box N2
AKAP9	>0.1	A-kinase anchoring protein 9
PEX2	>0.1	peroxisomal biogenesis factor 2
LINC00898	>0.1	long intergenic non-protein coding RNA 898
CD1E	>0.1	CD1e molecule
RAB6A	>0.1	RAB6A, member RAS oncogene family
ACTR6	>0.1	actin related protein 6
RRP7A	>0.1	ribosomal RNA processing 7 homolog A
FAM65C	>0.1	RIPOR family member 3
KRTAP10-7	>0.1	keratin associated protein 10-7
HNF1B	>0.1	HNF1 homeobox B
KRT38	>0.1	keratin 38
NTSR2	>0.1	neurotensin receptor 2
SHISA2	>0.1	shisa family member 2
CTSD	>0.1	cathepsin D
THUMPD3	>0.1	THUMP domain containing 3
ATP6V1D	>0.1	ATPase H+ transporting V1 subunit D
DLK2	>0.1	delta like non-canonical Notch ligand 2
SNHG7	>0.1	small nucleolar RNA host gene 7
URB2	>0.1	URB2 ribosome biogenesis homolog
ZNF511	>0.1	zinc finger protein 511
LIMK1	>0.1	LIM domain kinase 1
WDR76	>0.1	WD repeat domain 76
ZP4	>0.1	zona pellucida glycoprotein 4
CNTN3	>0.1	contactin 3
MYO7B	>0.1	myosin VIIB
SDC3	>0.1	syndecan 3
KRTAP5-11	>0.1	keratin associated protein 5-11
HYKK	>0.1	hydroxylysine kinase
BCL2L15	>0.1	BCL2 like 15
WARS2	>0.1	tryptophanyl tRNA synthetase 2, mitochondrial
RASA4B	>0.1	RAS p21 protein activator 4B
FAM187B	>0.1	family with sequence similarity 187 member B
HAO1	>0.1	hydroxyacid oxidase 1
CCRL2	>0.1	C-C motif chemokine receptor like 2
CRELD2	>0.1	cysteine rich with EGF like domains 2
PSENEN	>0.1	presenilin enhancer, gamma-secretase subunit
LINC00951	>0.1	long intergenic non-protein coding RNA 951
EID3	>0.1	EP300 interacting inhibitor of differentiation 3
LIPF	>0.1	lipase F, gastric type
PGK1	>0.1	phosphoglycerate kinase 1
C14orf37	>0.1	armadillo like helical domain containing 4
TMEM95	>0.1	transmembrane protein 95
SHCBP1	>0.1	SHC binding and spindle associated 1
MCF2L2	>0.1	MCF.2 cell line derived transforming sequence-like 2
NTN3	>0.1	netrin 3
MPLKIP	>0.1	M-phase specific PLK1 interacting protein
NTF3	>0.1	neurotrophin 3
XPNPEP2	>0.1	X-prolyl aminopeptidase 2
PLA2G6	>0.1	phospholipase A2 group VI
ZNF706	>0.1	zinc finger protein 706
VSTM4	>0.1	V-set and transmembrane domain containing 4
IMPA1	>0.1	inositol monophosphatase 1
FSD1L	>0.1	fibronectin type III and SPRY domain containing 1 like
C8orf82	>0.1	chromosome 8 open reading frame 82
SLC25A34	>0.1	solute carrier family 25 member 34
TBCD	>0.1	tubulin folding cofactor D
DACH2	>0.1	dachshund family transcription factor 2
RACGAP1	>0.1	Rac GTPase activating protein 1
GOLGA6L1	>0.1	golgin A6 family like 1
CTSH	>0.1	cathepsin H
TPCN2	>0.1	two pore segment channel 2
BEND6	>0.1	BEN domain containing 6
FCHO2	>0.1	FCH and mu domain containing endocytic adaptor 2
FGR	>0.1	FGR proto-oncogene, Src family tyrosine kinase
LPAR1	>0.1	lysophosphatidic acid receptor 1
FAM81B	>0.1	family with sequence similarity 81 member B
LRRC14	>0.1	leucine rich repeat containing 14
PYGL	>0.1	glycogen phosphorylase L
SIPA1L2	>0.1	signal induced proliferation associated 1 like 2
LOC100128494	>0.1	uncharacterized LOC100128494(LOC100128494)
MAGEA9	>0.1	MAGE family member A9
PRTN3	>0.1	proteinase 3
ZNF76	>0.1	zinc finger protein 76
SLC6A3	>0.1	solute carrier family 6 member 3
MPZL2	>0.1	myelin protein zero like 2
DUSP27	>0.1	serine/threonine/tyrosine interacting like 2
SLC16A1-AS1	>0.1	SLC16A1 antisense RNA 1
C10orf76	>0.1	armadillo like helical domain containing 3
SIGLEC7	>0.1	sialic acid binding Ig like lectin 7
GUSB	>0.1	glucuronidase beta
CCNT2	>0.1	cyclin T2
PIFO	>0.1	primary cilia formation
COL5A2	>0.1	collagen type V alpha 2 chain
CNTFR-AS1	>0.1	CNTFR antisense RNA 1
SLC39A3	>0.1	solute carrier family 39 member 3
RBP3	>0.1	retinol binding protein 3
XPO5	>0.1	exportin 5
CLUAP1	>0.1	clusterin associated protein 1
SRP14-AS1	>0.1	SRP14 divergent transcript
SLC4A4	>0.1	solute carrier family 4 member 4
PSMA8	>0.1	proteasome 20S subunit alpha 8
CDYL2	>0.1	chromodomain Y like 2
SAMD4B	>0.1	sterile alpha motif domain containing 4B
OVOL1	>0.1	ovo like transcriptional repressor 1
DCAF10	>0.1	DDB1 and CUL4 associated factor 10
OGFRL1	>0.1	opioid growth factor receptor like 1
CD8A	>0.1	CD8a molecule
OR5K3	>0.1	olfactory receptor family 5 subfamily K member 3
GZMA	>0.1	granzyme A
ZGLP1	>0.1	zinc finger GATA like protein 1
LOC101927237	>0.1	uncharacterized LOC101927237(LOC101927237)
EPN2	>0.1	epsin 2
BAIAP2-AS1	>0.1	BAIAP2 divergent transcript
STAT1	>0.1	signal transducer and activator of transcription 1
THAP6	>0.1	THAP domain containing 6
C14orf119	>0.1	chromosome 14 open reading frame 119
MAOB	>0.1	monoamine oxidase B
FAM110D	>0.1	family with sequence similarity 110 member D
ANKRD45	>0.1	ankyrin repeat domain 45
KL	>0.1	klotho
ZFP62	>0.1	ZFP62 zinc finger protein
MTRR	>0.1	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
SST	>0.1	somatostatin
PELI2	>0.1	pellino E3 ubiquitin protein ligase family member 2
OR8U1	>0.1	olfactory receptor family 8 subfamily U member 1
EFHD2	>0.1	EF-hand domain family member D2
PAX5	>0.1	paired box 5
RSG1	>0.1	ciliogenesis and planar polarity effector complex subunit 2
SMG5	>0.1	SMG5 nonsense mediated mRNA decay factor
ZNF485	>0.1	zinc finger protein 485
TOR1B	>0.1	torsin family 1 member B
MED18	>0.1	mediator complex subunit 18
FKBP11	>0.1	FKBP prolyl isomerase 11
OR2AG1	>0.1	olfactory receptor family 2 subfamily AG member 1
LOC101929551	>0.1	uncharacterized LOC101929551(LOC101929551)
DHX57	>0.1	DExH-box helicase 57
ARC	>0.1	activity regulated cytoskeleton associated protein
OR7D2	>0.1	olfactory receptor family 7 subfamily D member 2
ATF7	>0.1	activating transcription factor 7
SLCO2B1	>0.1	solute carrier organic anion transporter family member 2B1
AHI1	>0.1	Abelson helper integration site 1
NEUROG2	>0.1	neurogenin 2
MUM1	>0.1	PWWP domain containing 3A, DNA repair factor
ZNF692	>0.1	zinc finger protein 692
SMG6	>0.1	SMG6 nonsense mediated mRNA decay factor
HTRA2	>0.1	HtrA serine peptidase 2
CD209	>0.1	CD209 molecule
BNC1	>0.1	basonuclin 1
SAMD14	>0.1	sterile alpha motif domain containing 14
RUNX1	>0.1	RUNX family transcription factor 1
MDK	>0.1	midkine
MGAT4C	>0.1	MGAT4 family member C
EFCAB1	>0.1	calaxin
MBOAT4	>0.1	membrane bound O-acyltransferase domain containing 4
SERPINA5	>0.1	serpin family A member 5
GEMIN7	>0.1	gem nuclear organelle associated protein 7
ADAMTS1	>0.1	ADAM metallopeptidase with thrombospondin type 1 motif 1
